Date,AAPL,MSFT,spread,spread_zscore,vol_ratio,spread_momentum
2023-01-03,123.33065032958984,234.423583984375,111.09293365478516,,,
2023-01-04,124.60269927978516,224.1691436767578,99.56644439697266,,,-11.5264892578125
2023-01-05,123.28134155273438,217.52529907226562,94.24395751953125,,,-5.322486877441406
2023-01-06,127.81734466552734,220.08888244628906,92.27153778076172,,,-1.9724197387695312
2023-01-09,128.33998107910156,222.23171997070312,93.89173889160156,,,1.6202011108398438
2023-01-10,128.9119415283203,223.92453002929688,95.01258850097656,,,1.120849609375
2023-01-11,131.63357543945312,230.6956024169922,99.06202697753906,,,4.0494384765625
2023-01-12,131.55467224121094,233.37661743164062,101.82194519042969,,,2.759918212890625
2023-01-13,132.8858642578125,234.08111572265625,101.19525146484375,,,-0.6266937255859375
2023-01-17,134.0494842529297,235.177001953125,101.12751770019531,,,-0.0677337646484375
2023-01-18,133.32965087890625,230.73471069335938,97.40505981445312,,,-3.7224578857421875
2023-01-19,133.3887939453125,226.93820190429688,93.54940795898438,,,-3.85565185546875
2023-01-20,135.95263671875,235.0498046875,99.09716796875,,,5.547760009765625
2023-01-23,139.14756774902344,237.35902404785156,98.21145629882812,,,-0.885711669921875
2023-01-24,140.54783630371094,236.83062744140625,96.28279113769531,,,-1.9286651611328125
2023-01-25,139.8871307373047,235.43141174316406,95.54428100585938,,,-0.7385101318359375
2023-01-26,141.9579315185547,242.662353515625,100.70442199707031,,,5.1601409912109375
2023-01-27,143.90052795410156,242.8189239501953,98.91839599609375,,,-1.7860260009765625
2023-01-30,141.01129150390625,237.48619079589844,96.47489929199219,,,-2.4434967041015625
2023-01-31,142.28335571289062,242.47645568847656,100.19309997558594,0.4607594920827965,,3.71820068359375
2023-02-01,143.407470703125,247.3101348876953,103.90266418457031,1.884171221158569,1.0028328221572866,3.709564208984375
2023-02-02,148.72254943847656,258.90509033203125,110.18254089355469,2.800322887371022,1.2787294981260604,6.279876708984375
2023-02-03,152.35134887695312,252.78961181640625,100.43826293945312,0.40945666521444707,1.5620087210876998,-9.744277954101562
2023-02-06,149.619873046875,251.2435760498047,101.62370300292969,0.6239391180013429,1.3776405802241092,1.1854400634765625
2023-02-07,152.49928283691406,261.8013610839844,109.30207824707031,2.197714857921993,1.4322257971369465,7.678375244140625
2023-02-08,149.80722045898438,260.9892272949219,111.1820068359375,2.187141669031852,1.4661577256182436,1.8799285888671875
2023-02-09,148.7718505859375,257.9461669921875,109.17431640625,1.5489085373729514,1.1830871177222766,-2.0076904296875
2023-02-10,149.13723754882812,257.4374084472656,108.3001708984375,1.2545550915247021,1.0235460502069036,-0.8741455078125
2023-02-13,151.94204711914062,265.48046875,113.53842163085938,1.9008779122206392,1.0808346865123155,5.238250732421875
2023-02-14,151.3000946044922,266.3121337890625,115.01203918457031,1.8347754411681962,0.7457375584684356,1.4736175537109375
2023-02-15,153.4036865234375,264.18353271484375,110.77984619140625,1.0751411321003252,0.7936397515352566,-4.2321929931640625
2023-02-16,151.8037567138672,257.1502990722656,105.34654235839844,0.18240421977106544,0.9484300115144237,-5.4333038330078125
2023-02-17,150.65817260742188,253.1383056640625,102.48013305664062,-0.3099988546285902,1.0262373971074457,-2.8664093017578125
2023-02-21,146.6386260986328,247.85107421875,101.21244812011719,-0.5525131104410341,0.5232119490852132,-1.2676849365234375
2023-02-22,147.0633087158203,246.7132110595703,99.64990234375,-0.8697156293248489,0.40755251933969416,-1.5625457763671875
2023-02-23,147.54722595214844,249.9110107421875,102.36378479003906,-0.4930084125801118,0.7033100260436322,2.7138824462890625
2023-02-24,144.89059448242188,244.4668731689453,99.57627868652344,-0.9866750895269035,0.6633164743083229,-2.787506103515625
2023-02-27,146.08555603027344,245.38894653320312,99.30339050292969,-1.0441445165600187,0.6945525765449344,-0.27288818359375
2023-02-28,145.58187866210938,244.66307067871094,99.08119201660156,-1.1479419556552486,0.6009025781075236,-0.222198486328125
2023-03-01,143.5079345703125,241.57315063476562,98.06521606445312,-1.2899282043420757,0.647177239585107,-1.0159759521484375
2023-03-02,144.10047912597656,246.3208465576172,102.22036743164062,-0.5013836955009946,0.7545526230887402,4.1551513671875
2023-03-03,149.15699768066406,250.42111206054688,101.26411437988281,-0.6051773701573177,0.7332656767652548,-0.9562530517578125
2023-03-06,151.92225646972656,251.9709930419922,100.04873657226562,-0.8266149420548131,0.7615840692217312,-1.2153778076171875
2023-03-07,149.71994018554688,249.3028564453125,99.58291625976562,-0.8820012810700336,0.8427669052775344,-0.4658203125
2023-03-08,150.97418212890625,248.86143493652344,97.88725280761719,-1.0782882290166085,0.8545446635532247,-1.6956634521484375
2023-03-09,148.7224884033203,247.5077667236328,98.7852783203125,-0.8288583554362513,0.7225624936527938,0.8980255126953125
2023-03-10,146.65835571289062,243.84890747070312,97.1905517578125,-1.023328553961434,0.5442528041532638,-1.5947265625
2023-03-13,148.60397338867188,249.07723999023438,100.4732666015625,-0.3364023529731875,0.8923097696720431,3.28271484375
2023-03-14,150.69764709472656,255.81625366210938,105.11860656738281,0.755403620999887,1.1719625047902937,4.6453399658203125
2023-03-15,151.0927276611328,260.3775329589844,109.28480529785156,2.1398330308819373,1.1420953787726456,4.16619873046875
2023-03-16,153.917236328125,270.9323425292969,117.01510620117188,3.2951235812998765,1.1141335455257588,7.7303009033203125
2023-03-17,153.07777404785156,274.1007080078125,121.02293395996094,2.935317847807639,0.6337745436481441,4.0078277587890625
2023-03-20,155.447998046875,267.03802490234375,111.59002685546875,1.2964725185694037,1.3838139191785361,-9.432907104492188
2023-03-21,157.30470275878906,268.5584716796875,111.25376892089844,1.129698452706132,1.4011683298061015,-0.3362579345703125
2023-03-22,155.8726806640625,267.09686279296875,111.22418212890625,1.0194227011105783,1.4200041196198774,-0.0295867919921875
2023-03-23,156.95901489257812,272.3644714355469,115.40545654296875,1.4381328279577419,1.015794350846817,4.1812744140625
2023-03-24,158.2626953125,275.2190246582031,116.95632934570312,1.457508836693467,1.0739644732398301,1.550872802734375
2023-03-27,156.31710815429688,271.1089172363281,114.79180908203125,1.0644235913441897,0.8011812280758976,-2.164520263671875
2023-03-28,155.6949005126953,269.9808349609375,114.28593444824219,0.9048603215121425,0.8140067324232253,-0.5058746337890625
2023-03-29,158.77621459960938,275.16009521484375,116.38388061523438,1.0619973340174167,0.9098171665053818,2.0979461669921875
2023-03-30,160.34652709960938,278.6325988769531,118.28607177734375,1.1743506258247323,0.8415092691424584,1.902191162109375
