Date,AAPL,MSFT
2023-01-03,123.33065032958984,234.423583984375
2023-01-04,124.60269927978516,224.1691436767578
2023-01-05,123.28134155273438,217.52529907226562
2023-01-06,127.81734466552734,220.08888244628906
2023-01-09,128.33998107910156,222.23171997070312
2023-01-10,128.9119415283203,223.92453002929688
2023-01-11,131.63357543945312,230.6956024169922
2023-01-12,131.55467224121094,233.37661743164062
2023-01-13,132.8858642578125,234.08111572265625
2023-01-17,134.0494842529297,235.177001953125
2023-01-18,133.32965087890625,230.73471069335938
2023-01-19,133.3887939453125,226.93820190429688
2023-01-20,135.95263671875,235.0498046875
2023-01-23,139.14756774902344,237.35902404785156
2023-01-24,140.54783630371094,236.83062744140625
2023-01-25,139.8871307373047,235.43141174316406
2023-01-26,141.9579315185547,242.662353515625
2023-01-27,143.90052795410156,242.8189239501953
2023-01-30,141.01129150390625,237.48619079589844
2023-01-31,142.28335571289062,242.47645568847656
2023-02-01,143.407470703125,247.3101348876953
2023-02-02,148.72254943847656,258.90509033203125
2023-02-03,152.35134887695312,252.78961181640625
2023-02-06,149.619873046875,251.2435760498047
2023-02-07,152.49928283691406,261.8013610839844
2023-02-08,149.80722045898438,260.9892272949219
2023-02-09,148.7718505859375,257.9461669921875
2023-02-10,149.13723754882812,257.4374084472656
2023-02-13,151.94204711914062,265.48046875
2023-02-14,151.3000946044922,266.3121337890625
2023-02-15,153.4036865234375,264.18353271484375
2023-02-16,151.8037567138672,257.1502990722656
2023-02-17,150.65817260742188,253.1383056640625
2023-02-21,146.6386260986328,247.85107421875
2023-02-22,147.0633087158203,246.7132110595703
2023-02-23,147.54722595214844,249.9110107421875
2023-02-24,144.89059448242188,244.4668731689453
2023-02-27,146.08555603027344,245.38894653320312
2023-02-28,145.58187866210938,244.66307067871094
2023-03-01,143.5079345703125,241.57315063476562
2023-03-02,144.10047912597656,246.3208465576172
2023-03-03,149.15699768066406,250.42111206054688
2023-03-06,151.92225646972656,251.9709930419922
2023-03-07,149.71994018554688,249.3028564453125
2023-03-08,150.97418212890625,248.86143493652344
2023-03-09,148.7224884033203,247.5077667236328
2023-03-10,146.65835571289062,243.84890747070312
2023-03-13,148.60397338867188,249.07723999023438
2023-03-14,150.69764709472656,255.81625366210938
2023-03-15,151.0927276611328,260.3775329589844
2023-03-16,153.917236328125,270.9323425292969
2023-03-17,153.07777404785156,274.1007080078125
2023-03-20,155.447998046875,267.03802490234375
2023-03-21,157.30470275878906,268.5584716796875
2023-03-22,155.8726806640625,267.09686279296875
2023-03-23,156.95901489257812,272.3644714355469
2023-03-24,158.2626953125,275.2190246582031
2023-03-27,156.31710815429688,271.1089172363281
2023-03-28,155.6949005126953,269.9808349609375
2023-03-29,158.77621459960938,275.16009521484375
2023-03-30,160.34652709960938,278.6325988769531
2023-03-31,162.85499572753906,282.8015441894531
2023-04-03,164.1092529296875,281.7519836425781
2023-04-04,163.57598876953125,281.7029113769531
2023-04-05,161.72914123535156,278.9171142578125
2023-04-06,162.61798095703125,286.03863525390625
2023-04-10,160.02061462402344,283.87078857421875
2023-04-11,158.80584716796875,277.4358825683594
2023-04-12,158.11453247070312,278.0832824707031
2023-04-13,163.5068359375,284.31219482421875
2023-04-14,163.16119384765625,280.6827697753906
2023-04-17,163.18089294433594,283.2919921875
2023-04-18,164.40553283691406,282.8702087402344
2023-04-19,165.5511474609375,282.94873046875
2023-04-20,164.58328247070312,280.6533508300781
2023-04-21,162.9735107421875,280.3100280761719
2023-04-24,163.27964782714844,276.3960876464844
2023-04-25,161.73899841308594,270.1672668457031
2023-04-26,161.72914123535156,289.7367248535156
2023-04-27,166.32147216796875,299.01629638671875
2023-04-28,167.57569885253906,301.3999938964844
2023-05-01,167.48684692382812,299.73236083984375
2023-05-02,166.44984436035156,299.58526611328125
2023-05-03,165.3733673095703,298.5944519042969
2023-05-04,163.73394775390625,299.58526611328125
2023-05-05,171.41749572753906,304.72528076171875
2023-05-08,171.3483428955078,302.763427734375
2023-05-09,169.63980102539062,301.1449279785156
2023-05-10,171.40760803222656,306.3536376953125
2023-05-11,171.59524536132812,304.1955261230469
2023-05-12,170.6656494140625,303.0773620605469
2023-05-15,170.17112731933594,303.5579833984375
2023-05-16,170.17112731933594,305.79449462890625
2023-05-17,170.7843017578125,308.6847229003906
2023-05-18,173.1182403564453,313.1282043457031
2023-05-19,173.22708129882812,312.9513244628906
2023-05-22,172.2776336669922,315.7431640625
2023-05-23,169.66677856445312,309.9234313964844
2023-05-24,169.9436798095703,308.5372314453125
2023-05-25,171.08099365234375,320.4029235839844
2023-05-26,173.4940643310547,327.2549743652344
2023-05-30,175.3434295654297,325.6033935546875
2023-05-31,175.29397583007812,322.8311767578125
2023-06-01,178.10263061523438,326.9502258300781
2023-06-02,178.95314025878906,329.72247314453125
2023-06-05,177.59825134277344,330.2533264160156
2023-06-06,177.23236083984375,328.0316162109375
2023-06-07,175.85769653320312,317.9059753417969
2023-06-08,178.57736206054688,319.754150390625
2023-06-09,178.96304321289062,321.2582092285156
2023-06-12,181.7617950439453,326.2325744628906
2023-06-13,181.28709411621094,328.63128662109375
2023-06-14,181.9200439453125,331.629638671875
2023-06-15,183.9573211669922,342.2074890136719
2023-06-16,182.87933349609375,336.5351257324219
2023-06-20,182.9683380126953,332.3276062011719
2023-06-21,181.929931640625,327.91363525390625
2023-06-22,184.93637084960938,333.9595031738281
2023-06-23,184.6199188232422,329.348876953125
2023-06-26,183.22547912597656,323.0375671386719
2023-06-27,185.98468017578125,328.9065246582031
2023-06-28,187.1615447998047,330.16485595703125
